episode,avg_reward,avg_found_sources,avg_found_ratio
10,-1.115258,0.7000,0.159286
20,-0.375586,0.9000,0.175595
30,-9.462381,1.7000,0.362500
40,-10.320851,1.0000,0.168333
50,14.148087,1.2000,0.425000
60,4.943906,1.0000,0.176190
70,-32.950391,0.7000,0.190833
80,-23.803444,1.2000,0.229048
90,-4.513174,0.9000,0.166667
100,-5.256414,0.9000,0.185000
110,19.904249,1.6000,0.309524
120,0.578791,1.3000,0.309286
130,11.112324,2.7000,0.426548
140,24.406714,3.1000,0.477500
150,-14.306595,2.1000,0.384643
160,37.874887,3.5000,0.810357
170,15.217233,3.7000,0.809762
180,7.419802,2.7000,0.514286
190,68.528721,4.4000,0.850000
200,26.404879,3.1000,0.790476
210,-7.268369,2.7000,0.604167
220,20.287580,2.5000,0.623333
230,-0.443897,2.9000,0.640476
240,5.590174,3.6000,0.704167
250,56.783345,3.6000,0.772024
260,30.126159,2.2000,0.640000
270,43.202932,3.7000,0.783333
280,16.242092,2.4000,0.650833
290,42.048126,3.1000,0.618571
300,4.093611,3.4000,0.680357
310,13.770046,3.9000,0.747857
320,32.409703,2.9000,0.725000
330,47.886490,3.5000,0.828095
340,79.629778,3.6000,0.810000
350,52.993723,3.2000,0.788214
360,73.287248,3.3000,0.826667
370,33.542571,4.3000,0.752857
380,41.543474,4.2000,0.896667
390,59.109471,4.4000,0.768929
400,70.993836,4.0000,0.909762
410,38.465232,3.8000,0.903214
420,55.419322,3.8000,0.873095
430,38.885605,4.0000,0.807381
440,51.630893,3.6000,0.835833
450,86.208040,4.1000,0.917500
460,93.639328,3.4000,0.896667
470,59.460428,5.2000,0.910000
480,53.492344,3.9000,0.801190
490,56.646313,5.9000,0.916667
500,-22.817514,4.1000,0.737381
510,74.759435,3.0000,0.893333
520,29.633818,3.1000,0.732976
530,64.480658,3.8000,0.875714
540,91.873286,4.0000,0.880000
550,96.923567,3.3000,0.920833
560,77.754796,3.7000,0.875000
570,54.127498,4.3000,0.858810
580,99.476917,2.3000,0.941667
590,83.520521,3.9000,0.954762
600,85.009279,3.6000,0.918333
610,66.576976,3.0000,0.926667
620,84.718891,4.0000,0.819643
630,57.091993,3.9000,0.829167
640,67.983800,4.7000,0.890714
650,88.456252,4.4000,0.896429
660,58.019458,4.0000,0.859167
670,117.330425,4.8000,0.950000
680,52.092904,3.6000,0.880000
690,62.912418,3.4000,0.908333
700,64.601434,3.3000,0.808333
710,119.036034,4.6000,0.954762
720,92.725251,3.8000,0.860714
730,84.973481,2.7000,0.858333
740,48.312770,4.6000,0.822500
750,43.831068,3.9000,0.837143
760,64.171238,3.4000,0.810714
770,84.213005,4.0000,0.804762
780,59.133591,3.6000,0.804762
790,57.039273,5.0000,0.822500
800,54.766881,3.9000,0.782143
810,22.132196,3.1000,0.742500
820,48.390997,3.1000,0.713333
830,81.131412,3.0000,0.876429
840,69.337739,5.3000,0.867262
850,51.700023,4.0000,0.849405
860,93.615238,4.0000,0.888095
870,39.643191,2.8000,0.693571
880,57.258577,3.9000,0.809762
890,69.116237,4.1000,0.879167
900,28.938542,3.7000,0.855000
910,103.384756,4.4000,0.876667
920,89.547367,4.4000,0.930833
930,41.754601,4.9000,0.866667
940,78.532398,4.8000,0.867500
950,88.511560,2.8000,0.930000
960,79.398076,5.1000,0.901429
970,91.123561,3.8000,0.888095
980,67.874802,2.6000,0.921667
990,98.296133,4.6000,0.925000
1000,95.484350,4.7000,0.903214
1010,97.507110,4.3000,0.954167
1020,85.503951,4.7000,0.896667
1030,78.000425,4.6000,0.849048
1040,72.469643,4.4000,0.863929
1050,77.961644,3.9000,0.901190
1060,124.533762,4.9000,0.950000
1070,90.031055,5.1000,0.940476
1080,66.825395,2.3000,0.916667
1090,71.100121,4.6000,0.883333
1100,118.285649,4.8000,0.880000
1110,97.711211,3.5000,0.885714
1120,53.972469,2.8000,0.863333
1130,97.500079,3.0000,0.920833
1140,67.396631,3.7000,0.921667
1150,102.725092,4.6000,0.937500
1160,74.181750,3.4000,0.828571
1170,66.806077,3.8000,0.890714
1180,65.941186,4.3000,0.868333
1190,122.019585,3.3000,1.000000
1200,82.039021,5.2000,0.934762
1210,66.913001,4.8000,0.884524
1220,66.710390,5.0000,0.896429
1230,49.379403,3.8000,0.868095
1240,96.804680,4.3000,0.894048
1250,39.480601,2.8000,0.695000
1260,64.664058,3.3000,0.853571
1270,69.453999,4.5000,0.827381
1280,69.669997,4.6000,0.883333
1290,102.025729,4.0000,0.900833
1300,91.689028,4.1000,0.987500
1310,60.761124,4.1000,0.821429
1320,68.760880,2.4000,0.863333
1330,103.072303,4.9000,0.967500
1340,80.683692,5.3000,0.933333
1350,66.012816,3.9000,0.850000
1360,83.261123,4.4000,0.925833
1370,63.580347,4.7000,0.932381
1380,92.600465,3.4000,0.935714
1390,79.515710,4.2000,0.854167
1400,84.906671,4.3000,0.947500
1410,126.729474,5.2000,0.950000
