2026-03-10 13:23:13,462 | INFO | Episode 10/8000 | Avg Reward: 6.52 | Avg Length: 489.20 | Avg Loss: 0.9295 | Avg Found Sources: 1.10 | Avg Found Ratio: 24.92% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 13:24:48,120 | INFO | Episode 20/8000 | Avg Reward: 13.05 | Avg Length: 508.90 | Avg Loss: 11.7662 | Avg Found Sources: 2.50 | Avg Found Ratio: 50.52% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-10 13:26:31,523 | INFO | Episode 30/8000 | Avg Reward: -3.18 | Avg Length: 541.20 | Avg Loss: 7.7304 | Avg Found Sources: 2.20 | Avg Found Ratio: 46.23% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.02, failure_done=-0.01
2026-03-10 13:28:08,874 | INFO | Episode 40/8000 | Avg Reward: 25.95 | Avg Length: 524.90 | Avg Loss: 14.7802 | Avg Found Sources: 2.60 | Avg Found Ratio: 58.92% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.05, failure_done=-0.01
2026-03-10 13:29:54,840 | INFO | Episode 50/8000 | Avg Reward: -13.86 | Avg Length: 561.00 | Avg Loss: 1.8876 | Avg Found Sources: 2.50 | Avg Found Ratio: 48.83% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 13:31:30,724 | INFO | Episode 60/8000 | Avg Reward: 44.34 | Avg Length: 509.30 | Avg Loss: 284.9270 | Avg Found Sources: 3.20 | Avg Found Ratio: 72.01% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.04, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.26, failure_done=-0.01
2026-03-10 13:33:27,527 | INFO | Episode 70/8000 | Avg Reward: 18.20 | Avg Length: 617.30 | Avg Loss: 17.2322 | Avg Found Sources: 3.20 | Avg Found Ratio: 63.23% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.06, failure_done=-0.01
2026-03-10 13:35:17,389 | INFO | Episode 80/8000 | Avg Reward: -2.02 | Avg Length: 573.80 | Avg Loss: 39.7369 | Avg Found Sources: 2.90 | Avg Found Ratio: 60.94% | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.15, failure_done=-0.01
2026-03-10 13:37:04,295 | INFO | Episode 90/8000 | Avg Reward: 11.97 | Avg Length: 556.00 | Avg Loss: 27.9749 | Avg Found Sources: 3.60 | Avg Found Ratio: 70.00% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.10, failure_done=-0.01
2026-03-10 13:38:52,880 | INFO | Episode 100/8000 | Avg Reward: -17.92 | Avg Length: 563.80 | Avg Loss: 2.0635 | Avg Found Sources: 2.50 | Avg Found Ratio: 45.75% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.06, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-10 13:40:11,611 | INFO | Episode 110/8000 | Avg Reward: 43.28 | Avg Length: 417.40 | Avg Loss: 625.6450 | Avg Found Sources: 3.50 | Avg Found Ratio: 71.96% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.22, collision=-0.06, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=2.71, failure_done=-0.01
