episode,avg_reward
10,0.955573
20,-34.241356
30,-1.174407
40,10.557775
50,-42.487190
60,-22.159541
70,12.692528
80,18.064292
90,4.026773
100,16.327440
110,8.861590
120,20.134883
130,8.744447
140,-22.268615
150,22.313282
160,14.115526
170,8.183397
180,22.915779
190,19.489105
200,10.677703
210,-8.590093
220,26.074187
230,35.219615
240,-21.032926
250,20.069748
260,26.721131
270,22.359949
280,17.721772
290,-138.166978
300,15.701384
310,-22.481028
320,22.803181
330,29.062408
340,-103.542354
350,30.046569
360,-39.046241
370,-31.459892
380,23.505602
390,-24.669675
400,27.336648
410,40.887480
420,10.642215
430,27.429004
440,24.887970
450,-63.074487
460,27.221345
470,24.614566
480,28.266862
490,16.252467
500,31.234463
510,-40.651018
520,-58.517624
530,31.168511
540,4.881690
550,-53.388608
560,31.106393
570,-11.448752
580,28.637802
590,25.915755
600,-9.787539
610,19.718655
620,27.600500
630,25.050851
640,28.537801
650,28.810321
660,26.044877
670,19.898131
680,-8.362552
690,26.072336
700,-46.641601
710,30.145050
720,23.323475
730,28.820342
740,30.143745
750,29.873831
760,27.131373
770,-22.558061
780,23.903584
790,-51.220263
800,35.674430
810,28.824514
820,-48.277463
830,0.297588
840,7.359038
850,33.022168
860,25.786636
870,-8.263085
880,0.345227
890,31.149374
900,31.867688
910,-61.740450
920,-19.811212
930,22.118799
940,35.485251
950,24.715024
960,29.404449
970,6.196265
980,26.210453
990,-18.499876
1000,36.629546
1010,-59.952065
1020,-55.710302
1030,-4.324743
1040,29.108144
1050,31.466422
1060,-57.539066
1070,33.649593
1080,34.583930
1090,25.809726
1100,24.619097
1110,-11.732299
1120,26.245812
1130,24.700250
1140,28.789933
1150,-58.515197
1160,-20.685342
1170,25.782121
1180,-48.286700
1190,28.374204
1200,36.817018
1210,40.336990
1220,26.174376
1230,-13.866803
1240,-22.478848
1250,28.089260
1260,27.884585
1270,33.354430
1280,28.468557
1290,28.891532
1300,25.926805
1310,30.312652
1320,30.670519
1330,-14.480157
1340,31.888671
1350,36.964873
1360,41.474622
1370,19.118782
1380,21.510428
1390,-16.620547
1400,-10.243920
1410,2.306082
1420,33.145946
1430,30.468356
1440,29.218400
1450,-46.775590
1460,-9.352932
1470,-5.869289
1480,-5.612828
1490,30.007421
1500,23.643455
1510,24.744346
1520,25.727974
1530,-92.097313
1540,30.426649
1550,28.721981
1560,31.297205
1570,24.066663
1580,-50.186236
1590,24.368219
1600,31.209658
1610,-1.644557
1620,26.098264
1630,23.929830
1640,27.260039
1650,-21.988853
1660,28.386191
1670,33.416452
1680,23.957133
1690,-16.062619
1700,-12.972718
1710,32.097108
1720,36.820737
1730,21.110517
1740,-18.626474
1750,27.514652
1760,31.995338
1770,21.070948
1780,28.467938
1790,26.960332
1800,30.567593
1810,-55.907283
1820,7.453992
1830,-18.659415
1840,26.660854
1850,-60.990453
1860,27.265306
1870,10.700131
1880,26.174809
1890,-24.532769
1900,29.716200
1910,31.090062
1920,42.768063
1930,-17.799055
1940,-14.344490
1950,22.745580
1960,-5.136013
1970,23.376081
1980,7.645882
1990,31.681487
2000,25.568885
2010,26.733456
2020,-7.433605
2030,25.817634
2040,21.361038
2050,26.835959
2060,-11.131369
2070,34.102727
2080,-8.425022
2090,-21.699878
2100,29.682260
2110,-110.686179
2120,27.259634
2130,30.439832
2140,22.189523
2150,30.519090
2160,25.356652
2170,26.277664
2180,26.753198
2190,25.513515
2200,25.813214
2210,-58.647971
2220,-20.504557
2230,30.783590
2240,25.915988
2250,-55.349181
2260,-14.496383
2270,-22.262949
2280,30.524198
2290,-16.215888
2300,22.984981
2310,32.716321
2320,-11.401738
2330,-21.710875
2340,27.345386
2350,27.052386
2360,27.367802
2370,25.711391
2380,28.383497
2390,20.979642
2400,34.776934
2410,-17.078844
2420,4.711209
2430,27.263228
2440,-17.989283
2450,27.664835
2460,26.638537
2470,-11.860715
2480,30.796740
2490,-71.121420
2500,32.390833
2510,-9.301439
2520,-17.305819
2530,30.118425
2540,-21.285038
2550,-6.644550
2560,-13.392242
2570,36.616272
2580,30.892068
2590,26.031106
2600,21.234110
2610,-45.620251
2620,27.260197
2630,-64.900274
2640,27.755071
2650,27.538245
2660,32.413038
2670,-10.795130
2680,31.953573
2690,35.260917
2700,-18.131493
2710,31.159832
2720,29.696130
2730,24.541949
2740,-10.340280
2750,23.676219
2760,27.462336
2770,32.977145
2780,-6.108149
2790,30.384237
2800,28.367820
2810,28.132263
2820,-13.008792
2830,25.142245
2840,-52.678797
2850,-34.341035
2860,-11.744420
2870,-6.780779
2880,-62.413486
2890,-64.011228
2900,29.704605
2910,-12.309854
2920,23.814023
2930,-56.699753
2940,26.001721
2950,27.830597
2960,31.848179
2970,30.583316
2980,27.453914
2990,24.511386
3000,24.502305
3010,32.099805
3020,33.929228
3030,26.528412
3040,36.456538
3050,24.539662
3060,20.574153
3070,-67.710361
3080,38.355304
3090,-8.541709
3100,-25.649001
3110,32.185285
3120,23.169902
3130,30.380443
3140,22.201870
3150,3.534296
3160,30.144981
3170,-18.560311
3180,-71.383911
3190,-17.999695
3200,-10.289291
3210,-10.905520
3220,30.942338
3230,27.591992
3240,-8.739276
3250,26.894854
3260,-10.912900
3270,27.696773
3280,-60.280716
3290,30.494102
3300,26.005000
3310,-12.670129
3320,32.050244
3330,37.156476
3340,28.800047
3350,27.245879
3360,23.775569
3370,-21.275521
3380,22.524878
3390,26.058946
3400,33.607295
3410,-66.548612
3420,32.333611
3430,-17.866196
3440,26.020507
3450,-14.745073
3460,22.487197
3470,28.296189
3480,25.540755
3490,27.126455
3500,33.360428
3510,27.987577
3520,35.179567
3530,28.286150
3540,-61.610043
3550,28.101405
3560,23.572169
3570,1.850317
3580,31.962723
3590,32.463482
3600,29.504148
3610,26.197978
3620,29.857262
3630,35.835642
3640,-10.392458
3650,28.378412
3660,32.430228
3670,24.071995
3680,34.023246
3690,23.061082
3700,37.593748
3710,-15.376322
3720,27.741983
3730,24.472112
3740,-18.865736
3750,36.137050
3760,24.478214
3770,28.860875
3780,-11.909189
3790,-17.777287
3800,29.056501
3810,-74.179053
3820,3.149993
3830,38.919144
3840,28.695577
3850,32.544420
3860,-17.819455
3870,38.040743
3880,-9.901221
3890,25.156236
3900,-12.087380
3910,-20.101349
3920,38.246201
3930,25.940972
3940,-19.842189
3950,37.236848
3960,21.817158
3970,22.161987
3980,-57.113767
3990,-17.140334
4000,28.797329
4010,-16.270298
4020,30.441041
4030,28.079692
4040,22.225943
4050,-7.097839
4060,-60.240494
4070,-1.026481
4080,30.468759
4090,34.486639
4100,30.823305
