2026-02-20 10:35:27,965 | INFO | Episode 10/5000 | Avg Reward: 14.50 | Avg Length: 288.00 | Avg Loss: 6.2484 | Avg Found Sources: 0.60
2026-02-20 10:35:35,714 | INFO | Episode 20/5000 | Avg Reward: 17.84 | Avg Length: 238.00 | Avg Loss: 2.9335 | Avg Found Sources: 0.70
2026-02-20 10:35:46,428 | INFO | Episode 30/5000 | Avg Reward: -33.21 | Avg Length: 304.50 | Avg Loss: 8.8972 | Avg Found Sources: 0.20
2026-02-20 10:35:53,977 | INFO | Episode 40/5000 | Avg Reward: 25.71 | Avg Length: 204.10 | Avg Loss: 0.8734 | Avg Found Sources: 0.20
2026-02-20 10:36:00,987 | INFO | Episode 50/5000 | Avg Reward: 27.62 | Avg Length: 204.50 | Avg Loss: 1.6359 | Avg Found Sources: 0.20
2026-02-20 10:36:10,382 | INFO | Episode 60/5000 | Avg Reward: -18.12 | Avg Length: 287.20 | Avg Loss: 9.1051 | Avg Found Sources: 0.30
2026-02-20 10:36:17,154 | INFO | Episode 70/5000 | Avg Reward: 26.20 | Avg Length: 202.80 | Avg Loss: 0.7960 | Avg Found Sources: 0.10
2026-02-20 10:36:23,487 | INFO | Episode 80/5000 | Avg Reward: 30.66 | Avg Length: 205.40 | Avg Loss: 2.0748 | Avg Found Sources: 0.20
2026-02-20 10:36:29,987 | INFO | Episode 90/5000 | Avg Reward: 25.48 | Avg Length: 207.10 | Avg Loss: 1.2576 | Avg Found Sources: 0.20
2026-02-20 10:36:38,457 | INFO | Episode 100/5000 | Avg Reward: -1.62 | Avg Length: 280.00 | Avg Loss: 6.8327 | Avg Found Sources: 0.20
2026-02-20 10:36:44,787 | INFO | Episode 110/5000 | Avg Reward: 26.14 | Avg Length: 204.10 | Avg Loss: 0.5793 | Avg Found Sources: 0.00
2026-02-20 10:36:53,112 | INFO | Episode 120/5000 | Avg Reward: -12.11 | Avg Length: 277.10 | Avg Loss: 6.4780 | Avg Found Sources: 0.20
2026-02-20 10:36:59,519 | INFO | Episode 130/5000 | Avg Reward: 24.61 | Avg Length: 204.20 | Avg Loss: 0.7741 | Avg Found Sources: 0.00
2026-02-20 10:37:05,842 | INFO | Episode 140/5000 | Avg Reward: 26.78 | Avg Length: 207.10 | Avg Loss: 1.2759 | Avg Found Sources: 0.20
2026-02-20 10:37:14,289 | INFO | Episode 150/5000 | Avg Reward: -9.26 | Avg Length: 278.80 | Avg Loss: 9.6221 | Avg Found Sources: 0.00
2026-02-20 10:37:20,683 | INFO | Episode 160/5000 | Avg Reward: 37.72 | Avg Length: 209.10 | Avg Loss: 2.4743 | Avg Found Sources: 0.20
2026-02-20 10:37:29,914 | INFO | Episode 170/5000 | Avg Reward: -10.79 | Avg Length: 284.50 | Avg Loss: 7.9106 | Avg Found Sources: 0.30
2026-02-20 10:37:38,498 | INFO | Episode 180/5000 | Avg Reward: -21.66 | Avg Length: 281.40 | Avg Loss: 8.2303 | Avg Found Sources: 0.20
2026-02-20 10:37:44,748 | INFO | Episode 190/5000 | Avg Reward: 37.85 | Avg Length: 205.60 | Avg Loss: 3.5594 | Avg Found Sources: 0.10
2026-02-20 10:37:51,076 | INFO | Episode 200/5000 | Avg Reward: 31.16 | Avg Length: 205.90 | Avg Loss: 1.5262 | Avg Found Sources: 0.20
2026-02-20 10:37:59,545 | INFO | Episode 210/5000 | Avg Reward: -65.48 | Avg Length: 280.80 | Avg Loss: 17.5494 | Avg Found Sources: 0.10
2026-02-20 10:38:05,821 | INFO | Episode 220/5000 | Avg Reward: 31.99 | Avg Length: 203.00 | Avg Loss: 3.0380 | Avg Found Sources: 0.30
2026-02-20 10:38:12,034 | INFO | Episode 230/5000 | Avg Reward: 31.93 | Avg Length: 202.70 | Avg Loss: 1.0153 | Avg Found Sources: 0.10
2026-02-20 10:38:20,360 | INFO | Episode 240/5000 | Avg Reward: -16.89 | Avg Length: 279.60 | Avg Loss: 7.9326 | Avg Found Sources: 0.10
2026-02-20 10:38:28,841 | INFO | Episode 250/5000 | Avg Reward: 7.09 | Avg Length: 280.20 | Avg Loss: 3.9917 | Avg Found Sources: 0.30
2026-02-20 10:38:35,196 | INFO | Episode 260/5000 | Avg Reward: 32.75 | Avg Length: 204.00 | Avg Loss: 1.0964 | Avg Found Sources: 0.20
2026-02-20 10:38:41,454 | INFO | Episode 270/5000 | Avg Reward: 26.41 | Avg Length: 202.70 | Avg Loss: 0.4333 | Avg Found Sources: 0.20
2026-02-20 10:38:47,859 | INFO | Episode 280/5000 | Avg Reward: 28.39 | Avg Length: 204.80 | Avg Loss: 1.9090 | Avg Found Sources: 0.00
2026-02-20 10:38:58,384 | INFO | Episode 290/5000 | Avg Reward: -99.10 | Avg Length: 355.20 | Avg Loss: 20.5867 | Avg Found Sources: 0.20
2026-02-20 10:39:04,761 | INFO | Episode 300/5000 | Avg Reward: 34.90 | Avg Length: 209.40 | Avg Loss: 3.0007 | Avg Found Sources: 0.20
2026-02-20 10:39:13,034 | INFO | Episode 310/5000 | Avg Reward: -0.78 | Avg Length: 273.20 | Avg Loss: 7.3910 | Avg Found Sources: 0.20
2026-02-20 10:39:19,321 | INFO | Episode 320/5000 | Avg Reward: 24.56 | Avg Length: 206.40 | Avg Loss: 1.1418 | Avg Found Sources: 0.20
2026-02-20 10:39:25,630 | INFO | Episode 330/5000 | Avg Reward: 36.80 | Avg Length: 203.50 | Avg Loss: 1.7609 | Avg Found Sources: 0.40
2026-02-20 10:39:36,054 | INFO | Episode 340/5000 | Avg Reward: -96.72 | Avg Length: 353.70 | Avg Loss: 26.9417 | Avg Found Sources: 0.10
2026-02-20 10:39:42,294 | INFO | Episode 350/5000 | Avg Reward: 26.87 | Avg Length: 206.00 | Avg Loss: 1.6285 | Avg Found Sources: 0.00
2026-02-20 10:39:52,672 | INFO | Episode 360/5000 | Avg Reward: -64.35 | Avg Length: 355.10 | Avg Loss: 14.8800 | Avg Found Sources: 0.10
2026-02-20 10:40:01,022 | INFO | Episode 370/5000 | Avg Reward: -17.22 | Avg Length: 282.80 | Avg Loss: 8.5314 | Avg Found Sources: 0.20
2026-02-20 10:40:07,413 | INFO | Episode 380/5000 | Avg Reward: 22.62 | Avg Length: 206.10 | Avg Loss: 1.1791 | Avg Found Sources: 0.00
2026-02-20 10:40:17,898 | INFO | Episode 390/5000 | Avg Reward: -60.67 | Avg Length: 354.90 | Avg Loss: 15.8035 | Avg Found Sources: 0.30
2026-02-20 10:40:26,468 | INFO | Episode 400/5000 | Avg Reward: -20.48 | Avg Length: 286.10 | Avg Loss: 8.1194 | Avg Found Sources: 0.10
2026-02-20 10:40:32,646 | INFO | Episode 410/5000 | Avg Reward: 41.64 | Avg Length: 204.30 | Avg Loss: 2.6286 | Avg Found Sources: 0.40
2026-02-20 10:40:38,945 | INFO | Episode 420/5000 | Avg Reward: 28.31 | Avg Length: 205.00 | Avg Loss: 0.8998 | Avg Found Sources: 0.20
2026-02-20 10:40:45,332 | INFO | Episode 430/5000 | Avg Reward: 26.48 | Avg Length: 204.90 | Avg Loss: 1.0677 | Avg Found Sources: 0.20
2026-02-20 10:40:53,769 | INFO | Episode 440/5000 | Avg Reward: -8.27 | Avg Length: 284.30 | Avg Loss: 8.0381 | Avg Found Sources: 0.10
2026-02-20 10:41:02,062 | INFO | Episode 450/5000 | Avg Reward: -16.29 | Avg Length: 280.30 | Avg Loss: 8.2312 | Avg Found Sources: 0.10
2026-02-20 10:41:08,521 | INFO | Episode 460/5000 | Avg Reward: 28.83 | Avg Length: 206.60 | Avg Loss: 0.8785 | Avg Found Sources: 0.20
2026-02-20 10:41:14,878 | INFO | Episode 470/5000 | Avg Reward: 24.90 | Avg Length: 205.00 | Avg Loss: 0.8244 | Avg Found Sources: 0.10
2026-02-20 10:41:21,111 | INFO | Episode 480/5000 | Avg Reward: 37.94 | Avg Length: 204.00 | Avg Loss: 2.2741 | Avg Found Sources: 0.10
2026-02-20 10:41:27,497 | INFO | Episode 490/5000 | Avg Reward: 32.09 | Avg Length: 204.70 | Avg Loss: 1.1141 | Avg Found Sources: 0.20
2026-02-20 10:41:33,933 | INFO | Episode 500/5000 | Avg Reward: 28.31 | Avg Length: 204.50 | Avg Loss: 0.9961 | Avg Found Sources: 0.10
2026-02-20 10:41:42,610 | INFO | Episode 510/5000 | Avg Reward: -5.11 | Avg Length: 283.90 | Avg Loss: 7.4532 | Avg Found Sources: 0.10
2026-02-20 10:41:53,040 | INFO | Episode 520/5000 | Avg Reward: -66.89 | Avg Length: 352.00 | Avg Loss: 15.1338 | Avg Found Sources: 0.50
2026-02-20 10:41:59,574 | INFO | Episode 530/5000 | Avg Reward: 34.22 | Avg Length: 204.70 | Avg Loss: 3.2477 | Avg Found Sources: 0.20
2026-02-20 10:42:08,616 | INFO | Episode 540/5000 | Avg Reward: 0.86 | Avg Length: 283.00 | Avg Loss: 3.1639 | Avg Found Sources: 0.10
2026-02-20 10:42:19,857 | INFO | Episode 550/5000 | Avg Reward: -53.46 | Avg Length: 358.40 | Avg Loss: 14.2804 | Avg Found Sources: 0.10
2026-02-20 10:42:26,559 | INFO | Episode 560/5000 | Avg Reward: 31.75 | Avg Length: 204.20 | Avg Loss: 1.1833 | Avg Found Sources: 0.50
2026-02-20 10:42:35,343 | INFO | Episode 570/5000 | Avg Reward: -11.33 | Avg Length: 278.90 | Avg Loss: 8.4940 | Avg Found Sources: 0.20
