episode,avg_reward,avg_found_sources,avg_found_ratio
10,50.173604,2.8000,0.730000
20,0.022505,2.8000,0.573571
30,34.001973,3.5000,0.748333
40,41.123976,3.4000,0.755000
50,25.699736,3.5000,0.696667
60,43.118776,4.1000,0.841905
70,26.344991,3.3000,0.733810
80,-3.986590,3.3000,0.624643
90,4.762875,3.6000,0.690833
100,2.683551,3.5000,0.594167
110,27.420289,3.5000,0.697619
120,37.718248,2.6000,0.635476
130,38.060581,3.2000,0.808929
140,4.785612,3.7000,0.722500
150,3.233908,3.2000,0.595476
160,36.313365,3.0000,0.750000
170,25.564277,1.7000,0.533333
180,17.949021,2.8000,0.726190
190,33.433991,2.3000,0.709524
200,41.032987,2.3000,0.598333
210,-6.344285,3.4000,0.591667
220,44.795721,3.3000,0.733333
230,2.402804,2.1000,0.636429
240,33.565897,2.8000,0.723810
250,32.040538,2.4000,0.588095
260,-4.846914,2.1000,0.432143
270,1.382632,2.4000,0.550000
280,20.389834,3.0000,0.553333
290,4.218249,2.2000,0.560000
300,-5.863603,2.3000,0.587500
310,49.138921,3.7000,0.626786
320,2.966093,3.2000,0.755357
330,40.658187,2.9000,0.635000
340,43.126571,2.8000,0.704167
350,36.695784,2.9000,0.654643
360,17.911522,3.5000,0.685595
370,23.060834,2.4000,0.683333
380,6.214755,2.6000,0.683333
390,34.960967,3.0000,0.649167
400,22.533059,2.7000,0.577143
410,39.852934,3.6000,0.833333
420,-3.487606,4.0000,0.689762
430,28.460217,2.4000,0.634762
440,21.895229,3.8000,0.872500
450,19.920362,2.7000,0.676667
460,41.858272,3.0000,0.791667
470,45.489848,3.4000,0.821667
480,3.891733,4.0000,0.784405
490,59.493452,3.3000,0.787857
500,38.141897,2.8000,0.681429
510,32.024941,3.1000,0.683333
520,46.825046,3.1000,0.700833
530,84.835134,4.0000,0.827500
540,23.787419,3.2000,0.745119
550,-1.090299,3.7000,0.641667
560,31.508635,3.8000,0.640476
570,-10.685890,3.0000,0.559524
580,36.651108,2.3000,0.556667
590,26.672291,2.8000,0.690714
600,6.530357,2.4000,0.740476
610,28.298969,2.0000,0.597500
620,-12.767577,1.7000,0.404167
630,34.097071,2.5000,0.546310
640,22.683005,3.5000,0.666071
650,-1.486874,3.1000,0.522738
660,37.560296,2.8000,0.626667
670,55.621121,2.6000,0.721429
680,72.469386,3.4000,0.831786
690,50.224783,3.1000,0.670714
700,14.912510,3.6000,0.633571
710,-16.812470,2.7000,0.587976
720,51.819749,2.5000,0.619643
730,28.555426,4.1000,0.688690
740,17.617582,3.0000,0.620000
750,21.139513,3.0000,0.693452
760,51.040191,3.4000,0.801667
770,20.152437,2.4000,0.616667
780,56.203617,4.1000,0.834762
790,22.912826,4.2000,0.729762
800,61.514667,4.0000,0.817143
810,15.444263,3.9000,0.703095
820,51.168440,3.1000,0.786905
830,42.837188,4.0000,0.820714
840,34.546297,3.8000,0.715357
850,24.695621,3.7000,0.735119
860,17.619518,3.6000,0.687143
870,15.994919,4.9000,0.809167
880,49.032673,3.6000,0.841667
890,46.168355,3.9000,0.866667
900,50.773285,4.6000,0.829643
910,52.538748,3.7000,0.745000
920,42.214620,4.5000,0.870833
930,27.535089,2.9000,0.777976
940,48.404667,3.4000,0.698810
950,53.857910,3.6000,0.875000
960,69.256582,2.8000,0.825000
970,16.046153,3.9000,0.731429
980,-0.589426,3.3000,0.661548
990,38.287880,3.9000,0.747500
1000,46.258701,3.8000,0.748810
1010,70.641229,3.4000,0.796667
1020,43.589820,3.7000,0.741667
1030,-50.699414,3.4000,0.583571
1040,38.276207,2.5000,0.658929
1050,59.917990,1.3000,0.643333
1060,30.546828,3.2000,0.767976
1070,-18.521774,2.0000,0.413333
1080,13.719328,2.1000,0.563095
1090,29.858593,2.6000,0.688810
