episode,avg_reward,avg_found_sources,avg_found_ratio
10,12.023051,2.9000,0.644048
20,16.019943,3.1000,0.695833
30,66.211219,2.5000,0.855714
40,38.503408,3.3000,0.797500
50,18.910769,3.1000,0.632976
60,26.030332,3.2000,0.726190
70,-15.525751,2.5000,0.574048
80,17.915488,3.2000,0.645238
90,12.795461,3.0000,0.673810
100,22.238648,3.3000,0.724881
110,31.854273,3.4000,0.775476
120,41.055682,2.3000,0.696190
130,17.956115,2.4000,0.581429
140,-0.407759,4.0000,0.684405
150,35.601842,2.6000,0.638095
160,61.277046,3.1000,0.855357
170,31.283460,3.4000,0.725000
180,-3.662344,3.5000,0.713690
190,28.118878,3.8000,0.783333
200,39.862060,3.2000,0.690833
210,9.501431,3.3000,0.710833
220,57.864255,2.6000,0.750000
230,37.793809,3.2000,0.634762
240,42.711732,3.3000,0.720952
250,15.852983,2.8000,0.653810
260,48.751381,3.8000,0.872500
270,22.887588,2.4000,0.720238
280,51.997467,3.6000,0.831548
290,36.909257,3.1000,0.725833
300,-0.264870,2.6000,0.545476
310,29.010412,2.7000,0.650000
320,26.284245,3.1000,0.675833
330,29.319198,3.0000,0.614881
340,-2.602921,2.3000,0.562857
350,11.738182,3.5000,0.644405
360,15.537978,3.5000,0.704167
370,-0.416172,3.1000,0.662500
380,4.973453,3.7000,0.728810
390,5.403128,3.4000,0.621429
400,23.534806,2.1000,0.582143
410,34.498520,4.2000,0.800000
420,17.000663,3.3000,0.648095
430,48.797251,2.7000,0.800714
440,28.114766,3.5000,0.805000
450,34.724147,3.0000,0.747619
460,40.757955,3.6000,0.739405
470,27.350044,3.0000,0.754167
480,4.134712,2.9000,0.679762
490,-14.961044,2.4000,0.459524
500,48.342431,2.8000,0.740000
510,27.066508,3.9000,0.829167
520,45.513754,3.6000,0.682143
530,57.003603,3.7000,0.732500
540,-6.950223,3.1000,0.670714
550,43.692555,3.0000,0.710714
560,33.081304,3.8000,0.748452
570,35.199601,4.2000,0.766667
580,38.433922,3.6000,0.811429
590,-5.815813,3.2000,0.599048
600,20.545364,3.5000,0.782381
610,45.978923,3.0000,0.726429
620,21.113132,3.0000,0.601667
630,18.618846,4.1000,0.767262
640,0.306046,3.1000,0.567857
650,31.039655,3.4000,0.685714
660,24.198096,3.0000,0.659167
670,43.578691,2.6000,0.769048
680,23.437459,2.9000,0.715833
690,13.475053,2.8000,0.555357
700,12.161252,3.5000,0.732143
710,21.072699,3.4000,0.678214
720,16.819494,4.3000,0.720833
730,43.926200,4.3000,0.845833
740,-16.332973,3.0000,0.578810
750,7.083069,2.6000,0.513095
760,67.931453,4.0000,0.894048
770,36.680680,3.9000,0.712143
780,-1.403274,2.6000,0.661667
790,22.508135,3.9000,0.746071
800,36.252200,3.9000,0.867857
810,10.861459,2.7000,0.596310
820,18.754963,3.6000,0.642500
830,10.105505,2.6000,0.648095
840,33.596942,3.5000,0.695714
850,3.315904,4.1000,0.696786
860,-7.460379,3.6000,0.723214
870,15.773068,2.2000,0.646667
880,35.362424,3.3000,0.707143
890,27.126401,3.0000,0.725714
900,42.716341,2.9000,0.703333
910,32.394291,3.8000,0.826667
920,30.174310,3.1000,0.656548
930,38.429924,2.5000,0.719167
940,40.232253,3.6000,0.713929
950,62.501762,3.7000,0.892500
960,7.067018,3.4000,0.633214
970,55.329105,3.9000,0.744643
980,16.629724,2.7000,0.693095
990,34.961177,4.1000,0.761905
1000,57.020795,3.4000,0.783333
1010,56.162625,3.8000,0.822143
1020,42.166127,3.6000,0.791667
1030,22.748870,3.4000,0.827381
1040,-19.727251,2.9000,0.568095
1050,33.094557,2.7000,0.733333
1060,52.035426,4.6000,0.793333
1070,51.107791,3.3000,0.757738
1080,43.093992,3.0000,0.766667
1090,42.822357,3.0000,0.769048
1100,40.599758,4.2000,0.792262
1110,15.058679,2.6000,0.680952
1120,58.123642,3.2000,0.719643
1130,16.527101,4.2000,0.742738
1140,10.269537,3.3000,0.728333
1150,61.493475,3.4000,0.809167
1160,4.728638,3.7000,0.681548
1170,59.864118,4.4000,0.780952
1180,50.141655,3.0000,0.838333
1190,43.771217,2.7000,0.651667
1200,11.428496,3.0000,0.582500
1210,18.952311,3.3000,0.616310
1220,26.929541,3.3000,0.750595
1230,69.150567,3.8000,0.782143
1240,-6.506457,3.1000,0.644762
1250,-1.346923,2.8000,0.692857
1260,56.148135,4.5000,0.790357
1270,-27.115847,4.1000,0.663214
1280,38.074831,3.2000,0.674405
1290,25.504121,3.8000,0.756190
1300,-11.659615,3.0000,0.631667
1310,64.205013,4.5000,0.784762
1320,33.524673,3.7000,0.780357
1330,30.961462,4.6000,0.747857
1340,63.457080,3.6000,0.789881
1350,38.119518,4.2000,0.833333
1360,10.557960,3.2000,0.593929
