episode,avg_reward
10,13.769962
20,12.220735
30,-7.260988
40,24.921021
50,15.812465
60,25.001243
70,25.590561
80,19.882534
90,20.728523
100,25.517370
110,21.931536
120,22.913486
130,25.564295
140,24.015789
150,31.073336
160,-18.109663
170,21.361037
180,-24.053701
190,27.407409
200,-19.137000
210,-49.289291
220,-7.451319
230,28.540868
240,24.846654
250,28.756096
260,22.418428
270,-22.651439
280,25.870167
290,27.090429
300,18.458534
310,27.562303
320,26.676873
330,19.247841
340,-27.664367
350,23.309757
360,-20.084121
370,-25.879715
380,-20.546600
390,-25.829592
400,-25.627358
410,26.487177
420,21.684221
430,28.609810
440,24.584236
450,25.481871
460,19.776063
470,28.161095
480,-25.209958
490,-18.258081
500,21.550892
510,23.582762
520,24.045931
530,20.443039
540,28.063713
550,-52.423154
560,27.194849
570,-14.600636
580,24.825793
590,24.152609
600,28.233688
610,27.106281
620,-19.999105
630,-30.539448
640,20.697814
650,18.665744
660,-11.034025
670,22.178955
680,22.780301
690,-18.101556
700,22.713971
710,31.614942
720,-72.803244
730,-21.726430
740,21.838776
750,20.502621
760,-50.451200
770,-21.218956
780,21.013333
790,-22.578134
800,27.453825
810,-28.422411
820,24.049981
830,-25.322152
840,-21.744373
850,-27.153011
860,-19.141537
870,21.639041
880,-15.078874
890,21.221879
900,32.699167
910,21.321888
920,37.543862
930,26.870149
940,26.182307
950,32.464752
960,24.180249
970,25.676751
980,-13.112594
990,27.038135
1000,-61.158633
1010,27.186300
1020,31.602430
1030,27.990126
1040,-22.138473
1050,23.888750
1060,32.476265
1070,22.492349
1080,29.040388
1090,-86.996560
1100,35.876761
1110,-51.098866
1120,-1.824354
1130,23.304654
1140,-109.085160
1150,33.222789
1160,-4.000397
1170,-11.743771
1180,30.864160
1190,-23.550719
1200,23.012079
1210,-117.208048
1220,-103.994751
1230,-6.075115
1240,-10.691868
1250,31.883591
1260,-18.523816
1270,-40.035940
1280,27.412231
1290,-3.449526
1300,24.984531
1310,22.409095
1320,28.130590
1330,30.764004
1340,26.379178
1350,-9.058657
1360,23.202125
1370,28.386074
1380,-101.928998
1390,30.332794
1400,-17.221233
1410,37.082983
1420,29.166732
1430,-3.825725
1440,26.974405
1450,-20.333109
1460,24.747560
1470,-24.161256
1480,35.157560
1490,25.234670
1500,31.669292
1510,-15.626798
1520,29.841887
1530,-10.172740
1540,29.120162
1550,-92.252459
1560,29.245756
1570,-0.905431
1580,-14.066024
1590,31.868284
1600,23.956773
1610,31.549702
1620,-14.806623
1630,26.109567
1640,-11.844443
1650,27.974675
1660,33.838756
1670,-15.805750
1680,33.385966
1690,-16.870656
1700,-8.398504
1710,29.020809
1720,25.763551
1730,-95.653088
1740,-54.392023
1750,33.443312
1760,-9.143877
1770,35.904965
1780,-10.080608
1790,33.307375
1800,27.086002
1810,-60.574254
1820,-55.294027
1830,37.381280
1840,27.661086
1850,-60.343292
1860,-17.184351
1870,-18.499033
1880,-15.072544
1890,-18.626278
1900,28.350584
1910,23.952615
1920,-19.401497
1930,-15.622486
1940,-16.373639
1950,24.897149
1960,-18.432417
1970,32.222886
1980,-12.271245
1990,43.300212
2000,29.070960
2010,23.591576
2020,22.887093
2030,29.771757
2040,23.167614
2050,27.857212
2060,26.740681
2070,-8.133220
2080,23.641053
2090,27.517010
2100,33.117190
