2026-03-09 13:49:53,124 | INFO | Episode 10/8000 | Avg Reward: 52.40 | Avg Length: 456.00 | Avg Loss: 734.0299 | Avg Found Sources: 2.80 | Avg Found Ratio: 75.58% | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.14, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=2.60, failure_done=-0.00
2026-03-09 13:51:20,160 | INFO | Episode 20/8000 | Avg Reward: 8.58 | Avg Length: 525.00 | Avg Loss: 100.5808 | Avg Found Sources: 2.70 | Avg Found Ratio: 67.00% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.09, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.17, failure_done=-0.01
2026-03-09 13:52:49,010 | INFO | Episode 30/8000 | Avg Reward: -6.20 | Avg Length: 566.90 | Avg Loss: 235.9940 | Avg Found Sources: 2.70 | Avg Found Ratio: 65.67% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.41, failure_done=-0.01
2026-03-09 13:54:12,832 | INFO | Episode 40/8000 | Avg Reward: 52.94 | Avg Length: 537.00 | Avg Loss: 348.9553 | Avg Found Sources: 3.40 | Avg Found Ratio: 74.58% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.62, failure_done=-0.01
2026-03-09 13:55:38,351 | INFO | Episode 50/8000 | Avg Reward: 52.07 | Avg Length: 524.70 | Avg Loss: 218.5409 | Avg Found Sources: 3.90 | Avg Found Ratio: 80.02% | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.38, failure_done=-0.01
2026-03-09 13:57:01,954 | INFO | Episode 60/8000 | Avg Reward: 15.56 | Avg Length: 521.30 | Avg Loss: 90.5962 | Avg Found Sources: 2.40 | Avg Found Ratio: 67.33% | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.15, failure_done=-0.01
2026-03-09 13:58:13,960 | INFO | Episode 70/8000 | Avg Reward: 15.03 | Avg Length: 492.40 | Avg Loss: 266.5101 | Avg Found Sources: 2.80 | Avg Found Ratio: 60.67% | Success Rate: 30.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.44, failure_done=-0.01
2026-03-09 13:59:38,508 | INFO | Episode 80/8000 | Avg Reward: 31.36 | Avg Length: 570.40 | Avg Loss: 39.4426 | Avg Found Sources: 2.20 | Avg Found Ratio: 62.67% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.06, failure_done=-0.01
2026-03-09 14:00:50,782 | INFO | Episode 90/8000 | Avg Reward: 10.05 | Avg Length: 477.00 | Avg Loss: 201.0976 | Avg Found Sources: 2.40 | Avg Found Ratio: 66.55% | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.08, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.33, failure_done=-0.00
2026-03-09 14:02:08,013 | INFO | Episode 100/8000 | Avg Reward: 32.48 | Avg Length: 505.20 | Avg Loss: 165.4731 | Avg Found Sources: 3.50 | Avg Found Ratio: 72.20% | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.05, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.29, failure_done=-0.01
2026-03-09 14:03:41,322 | INFO | Episode 110/8000 | Avg Reward: 1.27 | Avg Length: 613.30 | Avg Loss: 4.8639 | Avg Found Sources: 2.80 | Avg Found Ratio: 51.67% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:05:18,081 | INFO | Episode 120/8000 | Avg Reward: -6.45 | Avg Length: 638.60 | Avg Loss: 8.8075 | Avg Found Sources: 3.60 | Avg Found Ratio: 64.69% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.03, collision=-0.07, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
